l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,algorithm,bp_type,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements,dcache_overall_misses,dcache_overall_avg_miss_latency,dram_rank0_total_energy,dram_rank0_avg_power,dram_bwWrite_total,dram_bwRead_total,dram_bwTotal_total,dram_avgMemAcc_lat
32,1,OFF,16,HBM2_2000_4H_1x128,BOPPrefetcher,64,insert,LocalBP,0.721397,497602350,0.016272,2216602,2240778,136222411,48808.667501,0,0,195695128,202865549,398560677,20651.15
64,1,ON,1,HBM2_2000_4H_1x128,TaggedPrefetcher,128,quick,MultiperspectivePerceptron64KB,0.027200,42189869,0.004219,23877,51277,5659753,20193.386941,0,0,13604779,47299077,60903856,31821.66
64,4,ON,4,HBM2_2000_4H_1x128,None,32,pen,TournamentBP,0.090029,68866287,0.058629,1040060,1039217,17739650,19444.799338,0,0,108636135,28421118,137057253,26379.28
64,1,ON,8,HBM2_2000_4H_1x128,BOPPrefetcher,64,pen,BiModeBP,0.082118,68196345,0.038786,682835,775919,17604975,18129.512254,0,0,120792860,47534974,168327835,28085.27
8,2,ON,2,HBM2_2000_4H_1x128,None,128,insert,BiModeBP,0.636036,497273635,0.014317,1949703,1949882,136179317,13087.142760,0,0,361640,1030181,1391821,29784.87
128,16,OFF,1,HBM2_2000_4H_1x128,None,32,mm,None,0.106480,41777272,0.169800,1233282,1233002,7263154,62292.164323,0,0,13253249,382509734,395762984,30728.36
256,1,ON,1,HBM2_2000_4H_1x128,AMPMPrefetcher,64,snap,MultiperspectivePerceptron64KB,0.550071,322104969,0.007924,922293,1476499,116399030,33328.428710,0,0,81331565,110308977,191640542,29269.94
128,4,ON,2,HBM2_2000_4H_1x128,AMPMPrefetcher,64,mm,LocalBP,0.044689,41351763,0.189300,1364700,2956816,7209190,13648.372902,0,0,6509027,16536795,23045822,25626.75
16,2,ON,8,HBM2_2000_4H_1x128,AMPMPrefetcher,32,snap,MultiperspectivePerceptron64KB,0.596910,324735287,0.033111,3896713,7928986,117687002,19193.821947,0,0,71683500,62551291,134234791,29353.10
2,4,OFF,8,HBM2_2000_4H_1x128,TaggedPrefetcher,32,quick,BiModeBP,0.034587,42812502,0.019102,108911,226114,5701641,46408.475728,0,0,84899131,255889730,340788861,26863.67
64,4,OFF,2,HBM2_2000_4H_1x128,TaggedPrefetcher,32,insert,None,0.644171,497727926,0.004237,577063,615111,136188698,49989.729891,0,0,28577573,33942189,62519762,23038.28
32,16,ON,16,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,pen,LocalBP,0.073986,67855122,0.012706,223302,454386,17574539,23155.544957,0,0,137999340,125153703,263153042,33368.52
256,2,ON,16,HBM2_2000_4H_1x128,None,32,snap,None,0.573392,324193016,0.014887,1748412,1727800,117444574,33527.738885,0,0,73927404,39590678,113518082,31561.52
64,8,OFF,1,HBM2_2000_4H_1x128,BOPPrefetcher,64,mm,LocalBP,0.160028,41580107,0.294184,2142146,2192674,7281659,61503.395193,0,0,10834515,890090480,900924995,29396.25
64,4,ON,8,HBM2_2000_4H_1x128,BOPPrefetcher,64,insert,TournamentBP,0.623559,497389535,0.006777,922770,948616,136163828,13124.342469,0,0,152005,323511,475516,26643.04
32,1,OFF,1,HBM2_2000_4H_1x128,BOPPrefetcher,32,insert,LocalBP,0.842849,498072355,0.032498,4429805,4429835,136308232,52002.567607,0,0,166571728,170661724,337233452,21962.17
1,2,ON,16,HBM2_2000_4H_1x128,TaggedPrefetcher,64,mm,None,0.059643,41446566,0.337693,2438799,7022841,7221937,14236.825585,0,0,3306075,8130519,11436594,24482.28
512,2,OFF,8,HBM2_2000_4H_1x128,BOPPrefetcher,32,quick,MultiperspectivePerceptron64KB,0.030180,42687075,0.003187,18193,17676,5709204,41064.695212,0,0,12440613,67080755,79521368,26790.26
128,8,OFF,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,pen,TournamentBP,0.092013,67876306,0.007011,123290,252445,17585967,66668.087436,0,0,253902783,622770886,876673669,33105.13
2,8,ON,4,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,mm,BiModeBP,0.051086,41245498,0.259183,1870430,7327661,7216645,13651.534674,0,0,6223908,18704296,24928204,30949.92
512,2,ON,4,HBM2_2000_4H_1x128,AMPMPrefetcher,32,mm,TournamentBP,0.027971,41617961,0.002791,20138,38410,7216304,23790.619724,0,0,6260231,13560401,19820631,24209.08
1,8,ON,8,HBM2_2000_4H_1x128,TaggedPrefetcher,128,insert,LocalBP,0.644014,497331910,0.018427,2509384,3308075,136182383,13380.652782,0,0,224790,753872,978662,31522.25
2,2,ON,1,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,insert,TournamentBP,0.626372,497260328,0.007435,1012373,2385417,136168060,14614.741306,0,0,651472,2105432,2756904,32069.10
64,8,OFF,4,HBM2_2000_4H_1x128,TaggedPrefetcher,32,insert,TournamentBP,0.648799,497747451,0.004961,675583,706763,136186646,49919.236422,0,0,33238319,38185872,71424190,22688.50
64,16,ON,1,HBM2_2000_4H_1x128,BOPPrefetcher,32,pen,None,0.092330,68906034,0.056341,998987,998018,17730943,20976.709407,0,0,108379999,43203177,151583177,25965.25
32,8,ON,4,HBM2_2000_4H_1x128,None,32,insert,MultiperspectivePerceptron64KB,0.650178,497711281,0.022831,3109392,3109282,136192357,13050.127163,0,0,145683,269268,414951,24180.75
512,2,OFF,8,HBM2_2000_4H_1x128,AMPMPrefetcher,32,quick,MultiperspectivePerceptron64KB,0.029985,42635677,0.002245,12819,20550,5709807,46177.860988,0,0,13668672,74359690,88028363,26652.80
4,16,ON,4,HBM2_2000_4H_1x128,BOPPrefetcher,64,quick,TournamentBP,0.027637,42328282,0.012204,69289,88195,5677458,13837.376784,0,0,5745298,13259805,19005103,27450.56
512,8,OFF,1,HBM2_2000_4H_1x128,BOPPrefetcher,32,pen,MultiperspectivePerceptron64KB,0.117007,68899030,0.033619,596371,592696,17739304,41942.468698,0,0,156115682,223365434,379481116,25762.59
512,4,OFF,4,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,snap,BiModeBP,0.683285,324943654,0.002021,238168,403907,117872685,57769.202832,0,0,74098270,498862702,572960973,34188.36
16,4,OFF,2,HBM2_2000_4H_1x128,TaggedPrefetcher,128,mm,None,0.169353,41462732,0.298501,2174254,6258232,7283912,64916.160209,0,0,16955240,4754009205,4770964445,24674.87
16,2,ON,1,HBM2_2000_4H_1x128,AMPMPrefetcher,128,insert,TournamentBP,0.625740,497247072,0.007186,978505,1717865,136172051,14477.846306,0,0,593626,1890931,2484557,31550.96
256,16,OFF,4,HBM2_2000_4H_1x128,AMPMPrefetcher,32,snap,TournamentBP,0.824250,327865837,0.009916,1185709,1714325,119573570,35513.466205,0,0,68800039,233858468,302658507,27151.96
2,4,OFF,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,mm,LocalBP,0.136822,41928032,0.245008,1781593,4756089,7271576,60192.143492,0,0,22478680,1126085896,1148564576,27754.62
2,1,ON,2,HBM2_2000_4H_1x128,TaggedPrefetcher,128,pen,BiModeBP,0.156735,68002942,0.325545,5742707,15069189,17640305,16089.988485,0,0,66749999,69934170,136684170,31186.31
512,16,ON,4,HBM2_2000_4H_1x128,None,32,snap,LocalBP,0.567428,323988511,0.010695,1255170,1219460,117357024,42106.605081,0,0,74533771,41358387,115892158,31408.30
512,16,OFF,1,HBM2_2000_4H_1x128,None,32,insert,TournamentBP,0.616014,497683265,0.000086,11667,11118,136174226,43756.449816,0,0,309240,3925639,4234879,27089.83
512,1,OFF,4,HBM2_2000_4H_1x128,None,32,insert,None,0.616955,497710547,0.000210,28570,28132,136172470,45633.654183,0,0,945183,4697791,5642975,27357.06
16,2,ON,4,HBM2_2000_4H_1x128,TaggedPrefetcher,32,insert,None,0.690197,497743181,0.047221,6432786,6528376,136226949,13013.775447,0,0,156894,388017,544911,24770.38
128,2,OFF,4,HBM2_2000_4H_1x128,BOPPrefetcher,128,pen,None,0.099420,67909166,0.013347,234797,276252,17591875,65602.433166,0,0,237269204,609414207,846683410,32620.60
16,8,ON,16,HBM2_2000_4H_1x128,BOPPrefetcher,32,insert,BiModeBP,0.689266,497769494,0.046811,6376387,6376360,136216254,13008.566999,0,0,113651,100420,214071,24899.63
4,8,ON,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,insert,LocalBP,0.633550,497394537,0.012115,1649906,4260017,136185024,13764.031405,0,0,171327,432155,603482,26883.89
4,4,OFF,4,HBM2_2000_4H_1x128,TaggedPrefetcher,64,pen,MultiperspectivePerceptron64KB,0.147454,68390957,0.062547,1102910,2605889,17633205,54043.767397,0,0,338330724,1249914175,1588244899,27868.56
