l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds
64,4,OFF,1,DDR4_2400_16x4,BOPPrefetcher,32,0.151338
64,2,OFF,4,DDR4_2400_16x4,TaggedPrefetcher,128,0.172366
32,1,ON,1,DDR4_2400_8x8,AMPMPrefetcher,32,0.061523
32,2,OFF,8,DDR4_2400_4x16,TaggedPrefetcher,128,0.175134
64,4,ON,1,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.044193
512,4,OFF,16,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.031934
256,8,OFF,8,DDR4_2400_16x4,BOPPrefetcher,64,0.032043
256,4,OFF,1,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.032456
256,16,ON,8,DDR4_2400_4x16,None,64,0.032861
32,1,ON,8,DDR4_2400_8x8,AMPMPrefetcher,32,0.061799
32,4,ON,2,DDR4_2400_4x16,None,128,0.057893
128,1,OFF,1,DDR4_2400_8x8,None,128,0.129472
256,1,OFF,16,DDR4_2400_4x16,AMPMPrefetcher,64,0.089358
256,8,OFF,1,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.031795
64,8,OFF,16,DDR4_2400_8x8,BOPPrefetcher,64,0.149903
512,16,ON,8,DDR3_2133_8x8,TaggedPrefetcher,64,0.032797
64,16,ON,1,DDR3_1600_8x8,TaggedPrefetcher,64,0.059709
256,8,ON,8,DDR3_2133_8x8,AMPMPrefetcher,32,0.032612
512,1,OFF,1,DDR3_1600_8x8,BOPPrefetcher,128,0.040705
256,16,OFF,2,DDR3_2133_8x8,None,64,0.032249
32,4,OFF,16,DDR4_2400_4x16,AMPMPrefetcher,32,0.161333
128,2,ON,16,DDR4_2400_16x4,BOPPrefetcher,32,0.045911
32,2,OFF,16,DDR4_2400_8x8,TaggedPrefetcher,32,0.150203
512,1,OFF,8,DDR4_2400_8x8,BOPPrefetcher,128,0.041043
128,16,ON,1,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.040369
128,8,OFF,2,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.060234
