l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,algorithm,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements,dcache_overall_misses,dcache_overall_avg_miss_latency,dram_rank0_total_energy,dram_rank0_avg_power,dram_rank1_total_energy,dram_rank0_avg_power
16,4,OFF,2,LPDDR5_5500_1x16_BG_BL16,BOPPrefetcher,128,pen,0.152987,74597415,0.030844,542063,600356,17574434,104066.043061,0,0,,
64,8,OFF,16,LPDDR5_5500_1x16_8B_BL32,BOPPrefetcher,64,snap,0.818840,325473398,0.010525,1133409,1257919,107690757,60025.334191,0,0,,
128,4,OFF,4,LPDDR5_6400_1x16_BG_BL16,TaggedPrefetcher,128,snap,0.800586,326141520,0.004922,532495,910185,108191376,108324.591780,0,0,,
8,4,OFF,8,LPDDR5_6400_1x16_BG_BL16,None,32,snap,1.301844,339973502,0.053356,6091628,6100564,114170230,66263.052915,0,0,,
64,1,OFF,16,LPDDR5_6400_1x16_8B_BL32,BOPPrefetcher,32,insert,0.068303,75009042,0.003642,48910,48796,13428550,69507.708035,0,0,,
512,16,OFF,4,DDR4_2400_16x4,TaggedPrefetcher,64,pen,0.093559,74502176,0.009994,175458,314915,17556053,44949.295558,94171840302.355865,1006.546661,94278938873.784454,1007.691374
32,4,ON,16,DDR3_2133_8x8,BOPPrefetcher,32,quick,0.009832,34915319,0.023232,46086,45999,1983700,14250.748600,5278338708.383893,536.874734,5293697587.919894,538.436929
128,8,OFF,1,DDR4_2400_16x4,AMPMPrefetcher,32,quick,0.012913,35065263,0.011700,23290,40319,1990658,50718.741949,12515212159.900679,969.160328,12515742439.703873,969.201392
16,1,ON,1,LPDDR5_6400_1x16_BG_BL16,None,128,pen,0.096299,74325637,0.065600,1152321,1152921,17565819,22725.401603,0,0,,
128,2,ON,4,DDR4_2400_16x4,TaggedPrefetcher,64,snap,0.468973,315742452,0.008084,836516,1407139,103479369,29800.329581,410557229184.608582,875.438865,410460099504.025024,875.231753
1,1,ON,16,LPDDR5_6400_1x16_BG_BL16,SignaturePathPrefetcher,64,snap,0.889245,321240943,0.285300,30199948,73120434,105853131,15274.427360,0,0,,
8,1,OFF,16,LPDDR5_5500_1x16_BG_BL32,None,64,quick,0.017740,35524261,0.036233,73445,72196,2026998,69687.752740,0,0,,
8,16,OFF,8,LPDDR5_5500_1x16_BG_BL16,None,32,insert,0.102599,75127951,0.035009,470947,471075,13452014,80014.131102,0,0,,
2,8,OFF,16,DDR4_2400_16x4,BOPPrefetcher,64,pen,0.182129,74942994,0.099673,1755728,2235467,17614819,53548.584120,193617479568.979706,1063.077614,196302761486.395691,1077.821443
256,4,OFF,4,LPDDR5_5500_1x16_BG_BL16,BOPPrefetcher,32,pen,0.152897,75169653,0.039961,707950,705203,17715990,65959.428632,0,0,,
128,16,OFF,1,LPDDR5_6400_1x16_BG_BL16,AMPMPrefetcher,32,snap,0.977539,337107316,0.012077,1364326,1755470,112967796,90723.979459,0,0,,
512,2,OFF,16,LPDDR5_6400_1x16_BG_BL32,SignaturePathPrefetcher,128,insert,0.064220,75176972,0.000330,4471,7047,13542406,118934.578394,0,0,,
64,16,OFF,4,LPDDR5_5500_1x16_BG_BL16,AMPMPrefetcher,128,insert,0.065550,75268305,0.000782,10602,16796,13553584,123328.758725,0,0,,
128,8,OFF,16,DDR4_2400_4x16,AMPMPrefetcher,64,quick,0.011938,34991310,0.006822,13455,21889,1972183,56075.362319,3779384021.114803,316.587218,,
32,2,ON,16,LPDDR5_6400_1x16_8B_BL32,BOPPrefetcher,64,snap,0.490959,315805099,0.020016,2071542,2429193,103496344,22944.473006,0,0,,
4,1,ON,4,DDR4_2400_8x8,BOPPrefetcher,32,snap,0.665154,319053485,0.144332,15163958,15172661,105063054,15106.093871,295550141838.159119,444.333298,295725899087.127319,444.597534
1,8,OFF,2,DDR3_2133_8x8,SignaturePathPrefetcher,128,mm,0.179974,48488413,0.331544,2418175,7063634,7293678,62620.465847,162987983752.105042,905.621588,170217071173.969635,945.789074
128,1,OFF,16,LPDDR5_6400_1x16_BG_BL16,SignaturePathPrefetcher,128,insert,0.065362,75269430,0.000904,12240,19339,13540077,117585.171569,0,0,,
64,2,OFF,16,DDR4_2400_4x16,SignaturePathPrefetcher,64,quick,0.012221,35040326,0.008803,17315,28464,1966836,58104.966792,3946902385.955184,322.967967,,
