l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements
128,8,ON,2,DDR3_2133_8x8,TaggedPrefetcher,32,0.049285,158219566,0.197847,1373395,4027752
128,1,OFF,2,DDR4_2400_4x16,None,32,0.132425,158756916,0.258562,1796732,1796001
32,1,OFF,4,DDR4_2400_4x16,AMPMPrefetcher,64,0.167997,158712159,0.336105,2336799,6945000
128,16,OFF,16,DDR4_2400_8x8,BOPPrefetcher,32,0.106285,158827612,0.189156,1314958,1314227
256,1,OFF,2,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.071296,158763061,0.104118,722983,1843061
512,2,ON,8,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.033834,158196861,0.013591,94340,307575
128,4,OFF,4,DDR4_2400_16x4,BOPPrefetcher,64,0.093296,158775225,0.160368,1113531,1134921
32,8,OFF,16,DDR4_2400_4x16,None,32,0.153579,158706616,0.314845,2189665,2188941
64,4,OFF,8,DDR4_2400_8x8,AMPMPrefetcher,32,0.153079,158758387,0.310041,2155129,6383907
32,2,ON,4,DDR4_2400_16x4,AMPMPrefetcher,64,0.060017,158184329,0.321938,2236138,10778604
256,4,ON,2,DDR4_2400_8x8,None,32,0.032534,158154913,0.008747,60703,59985
256,8,OFF,16,DDR4_2400_4x16,None,64,0.032283,158736483,0.003994,27704,27006
64,16,ON,4,DDR3_1600_8x8,BOPPrefetcher,32,0.057980,158217932,0.314188,2183427,2182755
256,8,ON,2,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.032703,158199633,0.002432,16891,30583
512,16,ON,16,DDR4_2400_4x16,AMPMPrefetcher,128,0.032853,158223108,0.000941,6529,9060
32,2,OFF,1,DDR4_2400_16x4,None,128,0.160830,158751633,0.309371,2151692,2149539
64,2,ON,2,DDR4_2400_16x4,BOPPrefetcher,32,0.056283,158178605,0.297134,2064196,2063528
32,2,OFF,4,DDR4_2400_4x16,TaggedPrefetcher,128,0.175134,158781060,0.310630,2161350,6233259
64,2,ON,8,DDR3_2133_8x8,AMPMPrefetcher,32,0.058328,158200636,0.310233,2154434,9384351
128,4,OFF,8,DDR3_1600_8x8,TaggedPrefetcher,32,0.061632,158744501,0.073702,511523,1373213
32,1,OFF,4,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.127681,158760547,0.264526,1838405,4532532
32,4,OFF,1,DDR3_1600_8x8,BOPPrefetcher,64,0.150394,158746746,0.309686,2152805,2215838
128,1,ON,16,DDR3_1600_8x8,TaggedPrefetcher,64,0.049851,158218684,0.189874,1319097,3867583
512,1,OFF,16,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.041273,158748649,0.024412,169543,429825
32,4,ON,8,DDR4_2400_16x4,TaggedPrefetcher,128,0.062363,158191403,0.309044,2146243,6203520
512,16,OFF,16,DDR3_2133_8x8,AMPMPrefetcher,64,0.031737,158740641,0.001358,9429,15704
32,8,OFF,16,DDR4_2400_8x8,None,128,0.160242,158772508,0.308044,2142876,2140691
256,2,OFF,8,DDR4_2400_4x16,BOPPrefetcher,128,0.045978,158773049,0.032423,225028,232321
256,1,ON,1,DDR4_2400_16x4,None,64,0.040613,158281384,0.101117,702159,701510
64,16,ON,1,DDR4_2400_16x4,TaggedPrefetcher,128,0.062180,158207688,0.307042,2132617,6183683
32,16,ON,16,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.047194,158206789,0.155813,1081803,4435341
128,2,OFF,4,DDR3_2133_8x8,BOPPrefetcher,32,0.098306,158829000,0.175583,1220510,1219783
512,16,ON,2,DDR4_2400_4x16,None,32,0.032433,158189473,0.004001,27769,27015
32,1,OFF,8,DDR4_2400_16x4,TaggedPrefetcher,32,0.158253,158741072,0.329358,2291394,6697470
256,1,OFF,2,DDR3_1600_8x8,None,32,0.091912,158787415,0.152523,1059197,1058485
512,4,OFF,8,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.031788,158782841,0.001533,10645,17562
512,16,ON,8,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.032563,158223776,0.002423,16816,31428
256,16,OFF,2,DDR3_2133_8x8,None,32,0.033685,158795765,0.007447,51658,50902
128,4,ON,8,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.039962,158211251,0.085410,592937,2267551
512,4,OFF,8,DDR4_2400_8x8,TaggedPrefetcher,64,0.031780,158781487,0.001550,10768,19739
512,4,OFF,4,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.031924,158766054,0.001126,7820,10493
128,16,OFF,4,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.067505,158747469,0.075669,525295,980746
256,1,ON,4,DDR4_2400_4x16,None,32,0.047651,158167755,0.189353,1314567,1313875
128,2,ON,2,DDR3_2133_8x8,None,128,0.043485,158241330,0.132108,917523,916646
256,1,ON,2,DDR4_2400_8x8,None,32,0.040867,158229404,0.106314,738348,737635
32,16,ON,1,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.044657,158149258,0.142247,987368,3671133
128,1,OFF,4,DDR4_2400_4x16,TaggedPrefetcher,64,0.109266,158766690,0.197623,1373303,4018994
512,4,ON,16,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.032623,158232997,0.002517,17459,31963
512,16,OFF,1,DDR3_1600_8x8,TaggedPrefetcher,128,0.031892,158749225,0.000988,6862,11034
256,4,ON,4,DDR4_2400_4x16,TaggedPrefetcher,32,0.032633,158206194,0.004819,33456,65687
64,16,ON,1,DDR4_2400_16x4,AMPMPrefetcher,32,0.058423,158213235,0.313588,2178791,10209487
32,1,ON,16,DDR4_2400_8x8,BOPPrefetcher,128,0.059435,158219077,0.314106,2181649,2252847
64,2,ON,4,DDR4_2400_4x16,AMPMPrefetcher,32,0.058967,158232402,0.320120,2223630,10503366
128,4,ON,8,DDR4_2400_4x16,AMPMPrefetcher,64,0.045106,158182912,0.141788,984680,5035637
128,1,ON,8,DDR4_2400_16x4,None,64,0.040058,158227871,0.089887,623994,623373
64,2,ON,16,DDR4_2400_8x8,BOPPrefetcher,64,0.055975,158282112,0.281636,1956690,2002021
256,8,ON,2,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.032678,158189008,0.002334,16201,29389
128,4,ON,16,DDR4_2400_8x8,None,32,0.046473,158186867,0.173850,1207329,1206647
32,1,OFF,8,DDR3_2133_8x8,BOPPrefetcher,128,0.155949,158720089,0.319989,2224863,2296065
256,4,OFF,1,DDR3_1600_8x8,AMPMPrefetcher,128,0.033587,158744663,0.004970,34500,52852
64,4,OFF,2,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.113949,158755543,0.206240,1433124,3649897
32,16,OFF,4,DDR3_2133_8x8,AMPMPrefetcher,128,0.163510,158750924,0.312592,2175393,6491908
32,4,ON,2,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.044217,158208254,0.146062,1014312,4108215
32,8,OFF,1,DDR3_2133_8x8,TaggedPrefetcher,128,0.164399,158751731,0.308525,2146820,6203135
64,1,ON,16,DDR4_2400_4x16,AMPMPrefetcher,128,0.060863,158211030,0.280493,1948599,5730437
256,2,OFF,16,DDR4_2400_8x8,TaggedPrefetcher,32,0.044702,158791939,0.034892,242102,661085
64,2,OFF,1,DDR4_2400_16x4,None,32,0.151642,158780336,0.314502,2186956,2186247
128,2,ON,1,DDR4_2400_16x4,BOPPrefetcher,32,0.043898,158180823,0.148925,1034612,1033906
512,4,ON,2,DDR3_2133_8x8,BOPPrefetcher,32,0.032386,158334123,0.004574,31742,30990
512,2,OFF,4,DDR3_2133_8x8,None,128,0.032296,158781011,0.002681,18612,16818
512,1,OFF,4,DDR3_2133_8x8,None,64,0.032536,158768758,0.004825,33503,32780
64,16,OFF,4,DDR4_2400_16x4,None,128,0.159406,158787968,0.307569,2140250,2138079
64,1,OFF,16,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.096737,158756914,0.176354,1224970,3214759
64,4,OFF,1,DDR3_2133_8x8,TaggedPrefetcher,128,0.165053,158806977,0.306946,2137576,6188751
