l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements
128,1,OFF,8,DDR4_2400_4x16,None,64,0.112026,158747799,0.208778,1449741,1449055
256,2,ON,8,DDR3_2133_8x8,TaggedPrefetcher,64,0.035613,158238991,0.033681,234008,656672
64,2,OFF,1,DDR4_2400_4x16,SignaturePathPrefetcher,128,0.112808,158738642,0.173726,1207754,2994740
32,8,OFF,2,DDR4_2400_8x8,BOPPrefetcher,64,0.149832,158759992,0.309329,2151645,2217464
64,2,OFF,1,DDR4_2400_4x16,AMPMPrefetcher,64,0.154290,158779274,0.296972,2065417,6284360
32,8,OFF,4,DDR3_2133_8x8,AMPMPrefetcher,32,0.151724,158767546,0.313791,2182102,6577016
64,4,OFF,4,DDR4_2400_16x4,BOPPrefetcher,128,0.156389,158788194,0.296870,2066572,2139774
512,8,ON,16,DDR3_2133_8x8,AMPMPrefetcher,32,0.032709,158248991,0.002055,14274,29442
512,1,OFF,4,DDR3_1600_8x8,AMPMPrefetcher,32,0.048894,158772431,0.041808,290111,1219564
128,4,OFF,4,DDR4_2400_16x4,None,32,0.084640,158802568,0.133969,931120,930403
128,1,ON,1,DDR4_2400_8x8,None,128,0.047743,158229919,0.180591,1253804,1252983
64,8,OFF,1,DDR4_2400_8x8,TaggedPrefetcher,64,0.149446,158763120,0.307832,2141647,6299533
512,16,ON,2,DDR4_2400_8x8,BOPPrefetcher,32,0.032358,158181107,0.003960,27494,26749
128,8,ON,8,DDR4_2400_4x16,None,32,0.048716,158205692,0.201005,1395970,1395283
32,16,OFF,8,DDR3_1600_8x8,TaggedPrefetcher,128,0.172906,158771251,0.308246,2144800,6201457
256,16,OFF,8,DDR4_2400_16x4,None,128,0.031797,158760446,0.002479,17204,15139
32,2,ON,8,DDR3_2133_8x8,None,128,0.058169,158186476,0.309100,2145696,2145089
64,2,ON,8,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.044766,158207548,0.139941,971447,3168559
128,2,ON,16,DDR4_2400_8x8,TaggedPrefetcher,32,0.047144,158188764,0.170945,1187643,3480839
64,16,OFF,8,DDR4_2400_8x8,TaggedPrefetcher,32,0.150393,158749291,0.311796,2167379,6381722
64,2,OFF,8,DDR3_1600_8x8,BOPPrefetcher,128,0.158342,158813791,0.298484,2075537,2143399
128,4,ON,1,DDR4_2400_4x16,AMPMPrefetcher,32,0.042384,158188364,0.122468,849922,4214494
512,2,ON,1,DDR4_2400_8x8,BOPPrefetcher,32,0.032425,158163824,0.005997,41640,40884
32,2,ON,2,DDR4_2400_16x4,TaggedPrefetcher,128,0.062696,158170002,0.311997,2166728,6250997
512,2,OFF,2,DDR4_2400_8x8,BOPPrefetcher,64,0.031984,158807946,0.002952,20501,23578
512,8,OFF,16,DDR3_2133_8x8,BOPPrefetcher,128,0.031888,158736221,0.001530,10625,9026
64,16,ON,1,DDR4_2400_8x8,BOPPrefetcher,32,0.057549,158183041,0.314297,2182611,2181934
128,8,OFF,1,DDR3_2133_8x8,BOPPrefetcher,64,0.128560,158812681,0.258718,1798694,1816967
256,4,OFF,4,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.031990,158742885,0.003058,21230,36146
64,8,OFF,8,DDR3_2133_8x8,None,128,0.153071,158777695,0.307524,2140524,2138349
128,2,ON,16,DDR4_2400_16x4,BOPPrefetcher,32,0.045911,158202836,0.166399,1155719,1155035
32,16,ON,2,DDR3_2133_8x8,None,32,0.057851,158220198,0.314953,2188139,2187494
64,4,OFF,4,DDR3_1600_8x8,None,64,0.150433,158762823,0.309777,2153490,2152810
64,4,OFF,4,DDR4_2400_16x4,AMPMPrefetcher,128,0.169942,158765453,0.310381,2160776,6254885
32,2,OFF,16,DDR4_2400_4x16,TaggedPrefetcher,64,0.152524,158743432,0.309715,2153769,6326185
256,8,ON,2,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.032654,158188979,0.002354,16343,29480
512,1,OFF,16,DDR3_1600_8x8,AMPMPrefetcher,32,0.048894,158772431,0.041808,290111,1219564
128,2,OFF,8,DDR4_2400_4x16,AMPMPrefetcher,64,0.111905,158714230,0.193746,1346338,4416841
32,4,ON,1,DDR4_2400_16x4,BOPPrefetcher,128,0.057409,158225565,0.297723,2069604,2143393
128,1,ON,1,DDR3_1600_8x8,TaggedPrefetcher,64,0.046079,158214164,0.151665,1053147,3080588
64,16,ON,16,DDR4_2400_4x16,AMPMPrefetcher,128,0.063101,158209430,0.311952,2167400,7205291
128,16,OFF,1,DDR3_1600_8x8,None,128,0.108753,158789821,0.178700,1242273,1240108
256,4,OFF,16,DDR3_2133_8x8,AMPMPrefetcher,128,0.032861,158732467,0.003688,25599,41506
128,16,ON,2,DDR4_2400_4x16,AMPMPrefetcher,128,0.049071,158246280,0.180046,1251120,2089980
64,1,ON,1,DDR4_2400_4x16,TaggedPrefetcher,64,0.055215,158172022,0.251160,1744107,5111131
128,1,ON,2,DDR3_2133_8x8,None,128,0.047628,158252885,0.179524,1246757,1245929
128,2,ON,16,DDR3_2133_8x8,TaggedPrefetcher,128,0.046132,158243890,0.139578,969451,2774449
32,1,OFF,4,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.113791,158710141,0.239237,1662690,4160032
512,2,OFF,4,DDR4_2400_4x16,AMPMPrefetcher,128,0.057460,158748500,0.057286,398095,461272
32,1,ON,4,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.047765,158256743,0.164835,1144719,3306275
32,16,OFF,2,DDR4_2400_16x4,BOPPrefetcher,32,0.151781,158771384,0.314840,2188889,2188168
128,4,OFF,1,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.073579,158765998,0.085916,596706,1454230
32,8,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,128,0.171683,158774274,0.308596,2146711,6202956
64,4,OFF,8,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.114111,158764783,0.250528,1740685,4412305
256,8,ON,8,DDR3_2133_8x8,AMPMPrefetcher,128,0.032897,158216212,0.002121,14719,20622
128,8,ON,8,DDR4_2400_16x4,BOPPrefetcher,128,0.047573,158223639,0.178400,1238411,1279073
64,1,ON,8,DDR3_2133_8x8,TaggedPrefetcher,128,0.058007,158204760,0.257032,1785065,5148755
64,16,ON,1,DDR3_2133_8x8,AMPMPrefetcher,32,0.058314,158227200,0.313726,2178035,10445383
128,16,ON,16,DDR4_2400_4x16,AMPMPrefetcher,128,0.038155,158216093,0.060490,419808,708376
256,8,ON,16,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.032858,158234123,0.001419,9846,16364
512,8,OFF,1,DDR4_2400_4x16,None,32,0.032619,158795109,0.004112,28529,27763
512,8,OFF,16,DDR3_1600_8x8,None,32,0.032591,158809645,0.004110,28506,27734
256,4,ON,8,DDR4_2400_16x4,BOPPrefetcher,64,0.036828,158280789,0.052472,364278,373090
64,16,ON,2,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.045901,158214381,0.144334,1002387,3898434
64,4,ON,2,DDR3_1600_8x8,None,64,0.058040,158243483,0.309873,2153204,2152609
128,2,ON,4,DDR4_2400_4x16,BOPPrefetcher,64,0.047151,158224786,0.177235,1230442,1256141
512,2,OFF,4,DDR4_2400_16x4,AMPMPrefetcher,128,0.032771,158752618,0.002857,19831,34043
512,8,OFF,16,DDR4_2400_8x8,None,64,0.031592,158768358,0.002283,15842,15143
64,2,ON,4,DDR4_2400_8x8,TaggedPrefetcher,128,0.060612,158247414,0.290121,2015530,5828731
256,16,ON,2,DDR3_2133_8x8,TaggedPrefetcher,128,0.032788,158239957,0.001305,9052,18651
256,2,ON,16,DDR3_1600_8x8,TaggedPrefetcher,64,0.035505,158229043,0.032276,224163,635356
64,4,OFF,1,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.113949,158755543,0.206240,1433124,3649897
128,1,OFF,2,DDR4_2400_16x4,None,32,0.117942,158768205,0.223719,1555567,1554840
256,16,OFF,2,DDR3_1600_8x8,None,32,0.034836,158775509,0.007628,52934,52185
128,1,OFF,16,DDR3_2133_8x8,BOPPrefetcher,32,0.098242,158818798,0.176007,1222976,1222247
64,2,ON,8,DDR3_1600_8x8,AMPMPrefetcher,64,0.058746,158205651,0.299513,2079946,9260924
256,2,OFF,8,DDR4_2400_8x8,None,32,0.046510,158808883,0.038097,264406,263671
64,16,OFF,4,DDR4_2400_16x4,None,32,0.151630,158750168,0.314124,2183920,2183188
256,4,ON,1,DDR4_2400_8x8,BOPPrefetcher,64,0.032705,158225243,0.005844,40562,46321
64,16,OFF,2,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.102889,158750731,0.193874,1348127,3414831
512,1,OFF,8,DDR3_2133_8x8,TaggedPrefetcher,64,0.039851,158756595,0.022909,159083,451342
256,8,ON,4,DDR3_1600_8x8,TaggedPrefetcher,64,0.032722,158205762,0.002364,16414,31951
128,2,ON,1,DDR4_2400_16x4,BOPPrefetcher,64,0.042690,158260362,0.124911,867888,886070
512,16,OFF,4,DDR3_2133_8x8,AMPMPrefetcher,32,0.031761,158731647,0.002090,14508,29497
512,8,ON,8,DDR3_2133_8x8,AMPMPrefetcher,64,0.032790,158186011,0.001454,10085,16669
128,4,OFF,4,DDR3_2133_8x8,TaggedPrefetcher,32,0.077520,158755787,0.119730,831223,2373274
256,2,OFF,16,DDR4_2400_8x8,BOPPrefetcher,128,0.033006,158791450,0.004940,34297,32455
128,8,OFF,8,DDR3_1600_8x8,BOPPrefetcher,128,0.081933,158748521,0.113777,790411,817241
128,1,OFF,1,DDR3_1600_8x8,AMPMPrefetcher,64,0.118271,158723329,0.217125,1507940,4851328
128,1,OFF,1,DDR3_2133_8x8,None,64,0.113886,158791319,0.220969,1535402,1534734
256,16,ON,8,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.032618,158213124,0.004003,27773,55196
128,2,OFF,4,DDR4_2400_4x16,TaggedPrefetcher,32,0.076543,158758793,0.109342,759275,2168402
32,2,ON,16,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.046088,158237830,0.149717,1039950,4059738
256,2,OFF,8,DDR3_2133_8x8,BOPPrefetcher,64,0.044692,158776649,0.034860,242034,248374
256,16,ON,1,DDR4_2400_16x4,BOPPrefetcher,64,0.032685,158285426,0.004014,27879,30085
32,1,OFF,8,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.113353,158749710,0.235823,1639592,4288466
64,8,ON,4,DDR3_2133_8x8,None,32,0.057941,158216719,0.314254,2182962,2182309
32,4,ON,16,DDR3_2133_8x8,None,64,0.058162,158204163,0.310435,2155830,2155252
128,2,OFF,4,DDR4_2400_8x8,BOPPrefetcher,64,0.080385,158785737,0.125721,872986,890497
512,4,ON,4,DDR3_2133_8x8,TaggedPrefetcher,32,0.032598,158220366,0.002739,19013,34207
128,1,OFF,2,DDR3_2133_8x8,BOPPrefetcher,128,0.095540,158732034,0.158773,1103277,1146439
512,4,OFF,1,DDR4_2400_4x16,BOPPrefetcher,32,0.032739,158822198,0.004428,30719,29951
512,4,ON,4,DDR3_1600_8x8,BOPPrefetcher,64,0.032692,158258698,0.002137,14831,19309
512,2,ON,4,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.032802,158213883,0.002046,14208,23394
128,2,ON,2,DDR4_2400_16x4,AMPMPrefetcher,64,0.046152,158230653,0.158837,1103293,5324814
128,4,ON,4,DDR4_2400_4x16,None,32,0.041400,158196815,0.116651,810036,809353
256,4,OFF,2,DDR4_2400_4x16,BOPPrefetcher,128,0.032567,158737427,0.003698,25668,26603
64,16,OFF,8,DDR3_2133_8x8,None,64,0.146098,158777159,0.309816,2152859,2152189
512,4,OFF,1,DDR3_1600_8x8,AMPMPrefetcher,64,0.031636,158770971,0.001507,10463,17004
32,16,ON,16,DDR4_2400_8x8,None,128,0.058184,158216158,0.308075,2139654,2139075
128,1,OFF,4,DDR4_2400_8x8,AMPMPrefetcher,128,0.122456,158774738,0.198905,1383232,3796431
128,8,OFF,16,DDR3_1600_8x8,BOPPrefetcher,128,0.081933,158748521,0.113777,790411,817241
128,8,OFF,8,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.066970,158762963,0.076466,530981,1477656
64,1,ON,4,DDR4_2400_8x8,BOPPrefetcher,64,0.055983,158227261,0.275815,1916093,1969943
256,16,ON,2,DDR3_1600_8x8,None,64,0.032610,158250356,0.004105,28495,27826
128,8,ON,4,DDR3_2133_8x8,AMPMPrefetcher,32,0.048037,158255732,0.183894,1277429,4177144
128,2,ON,1,DDR4_2400_16x4,None,64,0.044157,158250730,0.143338,995817,995187
32,2,ON,8,DDR3_2133_8x8,AMPMPrefetcher,64,0.060339,158196551,0.324696,2254545,10680449
512,2,OFF,16,DDR4_2400_16x4,TaggedPrefetcher,64,0.043942,158758510,0.030698,213222,615309
32,16,ON,4,DDR4_2400_4x16,TaggedPrefetcher,128,0.062291,158255621,0.308192,2142246,6198963
32,1,OFF,1,DDR4_2400_8x8,None,32,0.156411,158716602,0.329621,2291954,2291233
256,16,ON,4,DDR4_2400_4x16,BOPPrefetcher,64,0.032680,158279567,0.003747,25998,28986
128,4,ON,1,DDR4_2400_4x16,None,32,0.047123,158183667,0.187395,1301647,1300953
128,2,ON,16,DDR4_2400_4x16,TaggedPrefetcher,32,0.043908,158248386,0.135047,937352,2732866
256,1,OFF,1,DDR3_1600_8x8,AMPMPrefetcher,32,0.103314,158773534,0.176133,1223100,4189341
32,8,ON,8,DDR3_1600_8x8,AMPMPrefetcher,64,0.060144,158199564,0.319335,2219222,10704885
128,1,OFF,16,DDR4_2400_4x16,TaggedPrefetcher,128,0.100417,158741931,0.142562,991232,2842475
128,16,OFF,1,DDR3_2133_8x8,None,32,0.104336,158837416,0.189766,1319001,1318274
64,8,OFF,1,DDR4_2400_4x16,TaggedPrefetcher,64,0.152083,158758885,0.307806,2141138,6299374
32,16,OFF,1,DDR4_2400_8x8,TaggedPrefetcher,64,0.150624,158770121,0.308621,2144851,6305652
128,8,OFF,16,DDR3_2133_8x8,BOPPrefetcher,128,0.077244,158789843,0.111615,775110,796856
256,4,ON,8,DDR4_2400_16x4,BOPPrefetcher,32,0.036674,158197987,0.055386,384664,383955
512,2,ON,4,DDR3_1600_8x8,None,32,0.035046,158186040,0.034302,238337,237617
64,8,ON,1,DDR3_2133_8x8,TaggedPrefetcher,32,0.058893,158195047,0.310618,2157330,6380261
512,2,ON,1,DDR3_2133_8x8,BOPPrefetcher,128,0.032653,158245607,0.001305,9066,11441
32,16,OFF,16,DDR4_2400_16x4,AMPMPrefetcher,128,0.169635,158777632,0.312349,2175683,6497313
32,1,ON,1,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.048607,158205462,0.160484,1115143,3191657
32,1,OFF,4,DDR4_2400_8x8,AMPMPrefetcher,64,0.159288,158798793,0.334074,2323879,6886338
64,8,ON,4,DDR4_2400_16x4,TaggedPrefetcher,32,0.059068,158170646,0.310248,2156234,6380613
512,16,ON,16,DDR3_1600_8x8,BOPPrefetcher,128,0.032821,158255098,0.001293,8970,8281
512,16,ON,1,DDR4_2400_8x8,AMPMPrefetcher,64,0.032452,158180113,0.001386,9616,16013
512,4,ON,4,DDR4_2400_16x4,BOPPrefetcher,128,0.032841,158259030,0.001447,10047,9387
32,8,OFF,4,DDR4_2400_4x16,BOPPrefetcher,32,0.153579,158706616,0.314845,2189665,2188941
128,1,ON,2,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.039492,158194685,0.086640,601236,1955457
256,8,ON,4,DDR4_2400_16x4,None,128,0.032792,158249272,0.002331,16186,15445
512,1,OFF,8,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.047446,158800192,0.036652,254260,715541
512,2,ON,4,DDR3_1600_8x8,BOPPrefetcher,64,0.032555,158240725,0.003882,26953,26397
64,2,OFF,1,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.101111,158742269,0.174057,1208712,3100450
512,16,OFF,1,DDR3_1600_8x8,None,64,0.031549,158768342,0.002267,15726,15017
64,2,ON,16,DDR4_2400_16x4,TaggedPrefetcher,64,0.058660,158191586,0.290590,2018236,5926542
128,16,OFF,16,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.075061,158769501,0.114557,794889,2025209
512,2,OFF,8,DDR4_2400_4x16,None,128,0.032470,158778054,0.003156,21907,20153
512,1,ON,4,DDR4_2400_4x16,TaggedPrefetcher,32,0.035932,158249503,0.042034,291940,842785
512,8,OFF,16,DDR4_2400_4x16,None,64,0.031585,158771751,0.002310,16024,15313
512,2,ON,4,DDR4_2400_16x4,None,32,0.032492,158199156,0.005974,41468,40722
64,1,ON,4,DDR4_2400_16x4,TaggedPrefetcher,128,0.057057,158173879,0.250942,1742666,5025696
128,16,OFF,8,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.074324,158761010,0.105086,729764,1778210
32,16,ON,4,DDR3_1600_8x8,None,128,0.058153,158213348,0.308104,2139829,2139136
256,1,ON,8,DDR4_2400_4x16,None,64,0.036307,158241287,0.046175,320556,319910
128,1,ON,1,DDR4_2400_16x4,BOPPrefetcher,32,0.047846,158184775,0.195038,1354125,1353426
512,8,OFF,1,DDR4_2400_8x8,TaggedPrefetcher,128,0.031971,158761582,0.001028,7143,11562
32,16,ON,1,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.044393,158189782,0.149569,1038861,4305912
512,1,OFF,2,DDR4_2400_8x8,BOPPrefetcher,64,0.063031,158807080,0.080270,557623,571971
128,1,OFF,2,DDR4_2400_4x16,AMPMPrefetcher,32,0.109930,158813430,0.192712,1338490,4160370
64,2,ON,16,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.044576,158195808,0.139443,968504,4055981
128,16,ON,2,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.037426,158195804,0.055435,385033,510174
32,2,ON,16,DDR4_2400_4x16,TaggedPrefetcher,64,0.060266,158218660,0.310042,2153318,6324059
64,4,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,128,0.171806,158765361,0.306800,2135699,6188069
128,16,OFF,16,DDR4_2400_8x8,TaggedPrefetcher,32,0.103739,158764647,0.184969,1285580,3607391
64,1,ON,4,DDR4_2400_4x16,TaggedPrefetcher,32,0.056630,158196049,0.280068,1944496,5741000
512,8,OFF,2,DDR4_2400_8x8,TaggedPrefetcher,32,0.031687,158767605,0.003489,24218,32403
128,8,OFF,4,DDR3_2133_8x8,BOPPrefetcher,64,0.128560,158812681,0.258718,1798694,1816967
512,16,ON,4,DDR4_2400_8x8,AMPMPrefetcher,128,0.032796,158237802,0.000963,6686,9064
32,16,ON,1,DDR3_1600_8x8,TaggedPrefetcher,128,0.062081,158163665,0.308440,2142406,6198565
512,1,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,32,0.033018,158772337,0.005945,41237,75996
128,4,ON,8,DDR4_2400_8x8,AMPMPrefetcher,32,0.044921,158240122,0.149510,1037480,2024880
512,4,OFF,8,DDR4_2400_16x4,None,32,0.032704,158822009,0.004599,31912,31149
32,2,OFF,4,DDR3_1600_8x8,TaggedPrefetcher,128,0.173831,158754090,0.310222,2159046,6230362
128,8,ON,4,DDR4_2400_16x4,None,64,0.042661,158256640,0.124419,864416,863794
512,16,OFF,8,DDR4_2400_16x4,TaggedPrefetcher,32,0.031688,158783612,0.003272,22707,30331
256,2,ON,1,DDR4_2400_16x4,None,32,0.034835,158173860,0.039407,273640,272899
64,1,ON,16,DDR3_2133_8x8,BOPPrefetcher,32,0.054691,158180136,0.268317,1862839,1862181
64,8,OFF,1,DDR3_2133_8x8,None,32,0.147475,158766306,0.314231,2183774,2183058
512,8,ON,16,DDR4_2400_8x8,None,64,0.032560,158280965,0.002299,15959,15280
32,8,ON,2,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.044280,158179671,0.145736,1011555,2779625
128,16,ON,8,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.037802,158247391,0.065506,454563,1001734
32,2,ON,4,DDR3_2133_8x8,AMPMPrefetcher,32,0.059788,158229838,0.332516,2309405,10782798
256,4,ON,4,DDR4_2400_16x4,BOPPrefetcher,32,0.032703,158166400,0.009000,62499,61788
128,1,ON,1,DDR4_2400_8x8,BOPPrefetcher,32,0.043945,158141600,0.149048,1034388,1033707
256,4,ON,16,DDR4_2400_16x4,AMPMPrefetcher,128,0.032920,158229769,0.002640,18321,29395
32,1,ON,16,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.053361,158166737,0.196260,1362800,4219255
128,1,ON,16,DDR4_2400_16x4,TaggedPrefetcher,32,0.045612,158223563,0.153764,1067037,3138168
512,2,OFF,8,DDR4_2400_16x4,TaggedPrefetcher,64,0.043942,158758510,0.030698,213222,615309
128,2,OFF,1,DDR4_2400_4x16,SignaturePathPrefetcher,128,0.081837,158773503,0.109992,764469,1889955
256,8,ON,16,DDR4_2400_8x8,BOPPrefetcher,128,0.032853,158238712,0.002327,16154,15946
512,8,OFF,4,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.031713,158839849,0.002528,17533,30107
128,2,ON,4,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.037591,158189250,0.053560,371783,1325913
256,2,OFF,1,DDR3_2133_8x8,None,64,0.047933,158783447,0.043173,299737,299050
64,1,ON,1,DDR3_2133_8x8,BOPPrefetcher,32,0.055374,158149818,0.284011,1971525,1970874
256,16,ON,4,DDR4_2400_4x16,BOPPrefetcher,128,0.032800,158221666,0.002146,14897,15968
128,8,ON,16,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.037957,158186535,0.062904,436557,1228800
64,4,OFF,16,DDR4_2400_8x8,TaggedPrefetcher,32,0.149908,158787880,0.311732,2168794,6383379
32,16,ON,4,DDR4_2400_8x8,TaggedPrefetcher,128,0.062365,158220030,0.308214,2142224,6199161
512,4,ON,4,DDR3_2133_8x8,BOPPrefetcher,64,0.032864,158399479,0.002594,18013,17672
512,8,ON,16,DDR3_2133_8x8,AMPMPrefetcher,128,0.032876,158252926,0.001017,7065,9773
256,8,OFF,1,DDR4_2400_8x8,None,128,0.031774,158827677,0.002504,17392,15225
32,8,ON,4,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.044303,158209328,0.147207,1022057,3895255
256,4,OFF,8,DDR4_2400_4x16,None,128,0.032687,158753644,0.004298,29841,27750
64,16,OFF,8,DDR4_2400_8x8,TaggedPrefetcher,128,0.172261,158799796,0.306595,2135223,6186957
256,1,ON,1,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.039913,158219954,0.084933,589813,2070343
32,16,OFF,8,DDR4_2400_4x16,AMPMPrefetcher,64,0.161619,158797287,0.315253,2193802,6724268
256,2,OFF,4,DDR3_1600_8x8,AMPMPrefetcher,128,0.046224,158761987,0.032542,225987,294873
512,4,ON,8,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.032787,158215419,0.001530,10618,18026
32,16,ON,4,DDR3_2133_8x8,TaggedPrefetcher,64,0.060139,158215106,0.308432,2143286,6303881
512,4,ON,8,DDR3_1600_8x8,TaggedPrefetcher,64,0.032793,158203614,0.001594,11065,18677
32,2,OFF,8,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.101770,158766490,0.193311,1343395,3461249
32,2,ON,16,DDR4_2400_4x16,TaggedPrefetcher,128,0.062511,158233829,0.310637,2158303,6229715
64,8,ON,1,DDR4_2400_16x4,None,128,0.068376,158238299,0.307780,2138240,2137046
128,4,ON,2,DDR3_1600_8x8,AMPMPrefetcher,32,0.041944,158240097,0.116143,805865,2805257
128,8,OFF,8,DDR3_2133_8x8,BOPPrefetcher,128,0.077244,158789843,0.111615,775110,796856
64,4,ON,16,DDR4_2400_4x16,SignaturePathPrefetcher,128,0.046848,158202851,0.149687,1038918,4286038
256,1,OFF,1,DDR4_2400_4x16,None,32,0.091466,158742668,0.152589,1059880,1059148
128,4,OFF,1,DDR4_2400_8x8,None,128,0.077835,158806320,0.111498,774709,772523
512,8,ON,4,DDR4_2400_4x16,TaggedPrefetcher,128,0.032804,158236201,0.000853,5921,11140
32,2,ON,2,DDR3_2133_8x8,BOPPrefetcher,64,0.058085,158262387,0.310221,2155642,2225085
128,16,ON,1,DDR4_2400_8x8,None,32,0.048214,158184721,0.198817,1381088,1380402
64,2,OFF,2,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.101111,158742269,0.174057,1208712,3100450
64,8,OFF,8,DDR3_2133_8x8,TaggedPrefetcher,32,0.146768,158802902,0.311810,2167736,6381961
512,16,OFF,8,DDR3_1600_8x8,AMPMPrefetcher,128,0.031855,158720703,0.001071,7432,8938
32,16,ON,1,DDR3_1600_8x8,None,128,0.057645,158203358,0.308110,2140410,2139254
32,16,OFF,1,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.119901,158790573,0.266808,1853552,4673488
32,1,OFF,8,DDR3_1600_8x8,AMPMPrefetcher,128,0.179979,158726380,0.336895,2344542,6797689
128,2,OFF,4,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.075628,158752246,0.112349,779808,2259375
512,8,ON,1,DDR4_2400_4x16,TaggedPrefetcher,128,0.032778,158232238,0.000896,6219,11058
32,1,OFF,8,DDR3_1600_8x8,AMPMPrefetcher,64,0.161219,158703542,0.335024,2328900,6921330
32,4,OFF,16,DDR4_2400_8x8,BOPPrefetcher,128,0.156931,158749083,0.297796,2071977,2144692
128,8,ON,1,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.039427,158216708,0.087492,607662,2388658
512,1,ON,1,DDR4_2400_16x4,BOPPrefetcher,32,0.032359,158167158,0.007594,52698,51949
256,16,OFF,2,DDR3_1600_8x8,BOPPrefetcher,32,0.034836,158775509,0.007628,52934,52185
64,2,OFF,16,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.100486,158735525,0.211557,1469191,3819106
256,2,OFF,2,DDR4_2400_8x8,TaggedPrefetcher,64,0.033077,158733832,0.005015,34808,69100
64,2,ON,16,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.045884,158214252,0.144790,1005086,3197252
256,2,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,64,0.044528,158732211,0.032689,226996,642144
32,2,ON,2,DDR4_2400_4x16,None,64,0.058296,158183301,0.312147,2169019,2168441
512,8,OFF,2,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.031909,158767873,0.002619,18171,32192
128,4,ON,2,DDR3_1600_8x8,None,32,0.042528,158195456,0.130950,909514,908834
128,1,ON,2,DDR4_2400_16x4,AMPMPrefetcher,128,0.047048,158206127,0.147474,1024230,2714680
256,1,OFF,8,DDR4_2400_8x8,TaggedPrefetcher,64,0.092217,158741360,0.156660,1088609,3191333
256,1,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,128,0.096774,158787898,0.140073,974319,2796441
512,4,OFF,4,DDR3_1600_8x8,AMPMPrefetcher,64,0.031636,158770971,0.001507,10463,17004
512,2,OFF,16,DDR4_2400_4x16,TaggedPrefetcher,128,0.032348,158748620,0.002071,14368,26837
512,1,OFF,4,DDR4_2400_4x16,None,128,0.049508,158740813,0.042501,295198,293333
512,16,ON,16,DDR4_2400_8x8,TaggedPrefetcher,64,0.032809,158234564,0.001462,10154,17177
512,8,OFF,16,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.031909,158767873,0.002619,18171,32192
64,1,OFF,16,DDR4_2400_4x16,TaggedPrefetcher,128,0.165513,158753350,0.289018,2009303,5741403
512,16,ON,4,DDR3_2133_8x8,BOPPrefetcher,32,0.032618,158296370,0.003991,27720,26977
512,2,ON,2,DDR4_2400_8x8,None,128,0.032797,158268619,0.001801,12506,11691
64,1,ON,8,DDR3_1600_8x8,None,64,0.055135,158234858,0.271322,1883813,1883225
