l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds
512,4,OFF,4,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.031924
128,16,OFF,4,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.067505
256,1,ON,4,DDR4_2400_4x16,None,32,0.047651
128,2,ON,2,DDR3_2133_8x8,None,128,0.043485
256,1,ON,2,DDR4_2400_8x8,None,32,0.040867
32,16,ON,1,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.044657
128,1,OFF,4,DDR4_2400_4x16,TaggedPrefetcher,64,0.109266
512,4,ON,16,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.032623
512,16,OFF,1,DDR3_1600_8x8,TaggedPrefetcher,128,0.031892
256,4,ON,4,DDR4_2400_4x16,TaggedPrefetcher,32,0.032633
64,16,ON,1,DDR4_2400_16x4,AMPMPrefetcher,32,0.058423
32,1,ON,16,DDR4_2400_8x8,BOPPrefetcher,128,0.059435
64,2,ON,4,DDR4_2400_4x16,AMPMPrefetcher,32,0.058967
128,4,ON,8,DDR4_2400_4x16,AMPMPrefetcher,64,0.045106
128,1,ON,8,DDR4_2400_16x4,None,64,0.040058
64,2,ON,16,DDR4_2400_8x8,BOPPrefetcher,64,0.055975
256,8,ON,2,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.032678
128,4,ON,16,DDR4_2400_8x8,None,32,0.046473
32,1,OFF,8,DDR3_2133_8x8,BOPPrefetcher,128,0.155949
256,4,OFF,1,DDR3_1600_8x8,AMPMPrefetcher,128,0.033587
64,4,OFF,2,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.113949
32,16,OFF,4,DDR3_2133_8x8,AMPMPrefetcher,128,0.163510
32,4,ON,2,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.044217
32,8,OFF,1,DDR3_2133_8x8,TaggedPrefetcher,128,0.164399
64,1,ON,16,DDR4_2400_4x16,AMPMPrefetcher,128,0.060863
256,2,OFF,16,DDR4_2400_8x8,TaggedPrefetcher,32,0.044702
64,2,OFF,1,DDR4_2400_16x4,None,32,0.151642
128,2,ON,1,DDR4_2400_16x4,BOPPrefetcher,32,0.043898
512,4,ON,2,DDR3_2133_8x8,BOPPrefetcher,32,0.032386
512,2,OFF,4,DDR3_2133_8x8,None,128,0.032296
512,1,OFF,4,DDR3_2133_8x8,None,64,0.032536
64,16,OFF,4,DDR4_2400_16x4,None,128,0.159406
64,1,OFF,16,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.096737
64,4,OFF,1,DDR3_2133_8x8,TaggedPrefetcher,128,0.165053
32,16,OFF,8,DDR4_2400_8x8,BOPPrefetcher,64,0.149523
128,4,ON,2,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.039572
128,8,OFF,4,DDR4_2400_4x16,SignaturePathPrefetcher,128,0.079125
512,16,ON,8,DDR3_1600_8x8,None,128,0.032861
512,4,OFF,4,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.031776
256,8,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,128,0.031819
64,2,OFF,1,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.121935
32,2,ON,4,DDR3_2133_8x8,TaggedPrefetcher,128,0.062878
64,1,OFF,8,DDR4_2400_4x16,None,32,0.146373
512,4,ON,8,DDR4_2400_4x16,AMPMPrefetcher,128,0.032851
128,1,OFF,8,DDR3_2133_8x8,BOPPrefetcher,32,0.098242
128,1,OFF,8,DDR3_2133_8x8,AMPMPrefetcher,128,0.121182
256,16,ON,2,DDR3_1600_8x8,AMPMPrefetcher,32,0.032402
128,1,OFF,8,DDR4_2400_16x4,BOPPrefetcher,32,0.117942
512,1,OFF,8,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.050180
32,8,OFF,8,DDR4_2400_16x4,None,64,0.150705
128,1,OFF,8,DDR4_2400_16x4,None,64,0.107885
256,4,OFF,8,DDR3_2133_8x8,TaggedPrefetcher,32,0.033798
256,4,OFF,8,DDR3_2133_8x8,None,32,0.034185
32,8,ON,8,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.045612
64,8,OFF,16,DDR3_2133_8x8,BOPPrefetcher,32,0.147475
256,4,OFF,2,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.031687
256,8,OFF,8,DDR4_2400_4x16,BOPPrefetcher,64,0.032291
64,16,OFF,4,DDR4_2400_8x8,BOPPrefetcher,128,0.156380
64,1,OFF,16,DDR4_2400_8x8,TaggedPrefetcher,128,0.163352
128,2,ON,2,DDR3_2133_8x8,AMPMPrefetcher,128,0.049919
32,8,ON,16,DDR4_2400_4x16,TaggedPrefetcher,32,0.059055
128,1,ON,2,DDR4_2400_8x8,None,32,0.043407
512,2,OFF,4,DDR4_2400_16x4,BOPPrefetcher,32,0.045039
128,4,OFF,16,DDR4_2400_8x8,TaggedPrefetcher,32,0.077851
128,1,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,32,0.108570
128,1,OFF,1,DDR3_1600_8x8,TaggedPrefetcher,32,0.124928
256,1,ON,8,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.035266
